no,linkedin URL
1,https://id.linkedin.com/jobs/view/backend-developer-internship-at-pt-sigma-cipta-caraka-telkomsigma-4240869065?position=1&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=F2QTXGPkQmaEVHF4G84pwA%3D%3D
2,https://id.linkedin.com/jobs/view/frontend-web-developer-internship-at-pt-sigma-cipta-caraka-telkomsigma-4240861741?position=2&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=KcOctYph5A3tVs0TLHfzSA%3D%3D
3,https://id.linkedin.com/jobs/view/web-developer-internship-at-kalbe-nutritionals-pt-sanghiang-perkasa-4236809213?position=3&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=Hr9Z%2BdsZYx8htI2%2B25Ac3g%3D%3D
4,https://id.linkedin.com/jobs/view/backend-engineer-junior-or-senior-consultant-at-ey-4074573079?position=4&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=da645oRwJcVkw1ajx907iQ%3D%3D
5,https://id.linkedin.com/jobs/view/retail-management-trainee-at-pt-lion-super-indo-4202910459?position=5&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=7n368DcCHFXXxvvkteAvlQ%3D%3D
6,https://id.linkedin.com/jobs/view/back-end-developer-at-maybank-4235085923?position=6&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=cYFDLtDlUexN29f4l36vzg%3D%3D
7,https://id.linkedin.com/jobs/view/software-engineer-intern-backend-at-tiket-com-4229837984?position=7&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=dnfUT5bUyc1xzlhRDEygqQ%3D%3D
8,https://id.linkedin.com/jobs/view/back-end-developer-at-lg-sinar-mas-4231646750?position=8&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=mIQeCBc2lhYc4waYXZ4e%2FQ%3D%3D
9,https://id.linkedin.com/jobs/view/back-end-developer-at-pt-inosoft-trans-sistem-4239578727?position=9&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=Q1CIRmowjx7YunEGu%2FIoTw%3D%3D
10,https://id.linkedin.com/jobs/view/api-developer-junior-consultant-at-ey-4049542201?position=10&pageNum=0&refId=SN0iD1TCAPEajh27hJM6lw%3D%3D&trackingId=uhFM0wODsaYeXwmZr%2BpeQg%3D%3D
